"Breach_ID","Risk_Score","Industry","Records_Breached","Breach_Date","Breach_Type","Breach_Source","Location","Risk_Severity"
21,8.6,"Technology","10,00,00,000","2018-06-20","Identity Theft","Accidental Loss","United States","Severe"
22,9.1,"Education","75,00,000","2017-03-03","Identity Theft","Malicious Outsider","United States","Catastrophic"
23,8.5,"Technology","2,20,00,000","2018-07-10","Identity Theft","Malicious Outsider","United States","Severe"
24,9,"Healthcare","2,60,00,000","2017-03-17","Identity Theft","Accidental Loss","United Kingdom","Catastrophic"
25,8.5,"Retail","4,00,00,000","2018-04-29","Account Access","Malicious Outsider","United States","Severe"
26,8.9,"Government","55,00,000","2017-03-06","Identity Theft","Malicious Outsider","United States","Severe"
27,8.5,"Social Media","2,90,00,000","2018-09-28","Financial Access","Malicious Outsider","United States","Severe"
28,8.9,"Technology","48,00,000","2017-03-21","Identity Theft","Malicious Outsider","United States","Severe"
29,8.4,"Technology","5,05,53,664","2018-05-25","Existential Data","Accidental Loss","China","Severe"
30,8.8,"Retail","50,00,000","2017-09-16","Financial Access","Malicious Outsider","United States","Severe"
31,8.3,"Technology","4,80,00,000","2018-02-18","Identity Theft","Accidental Loss","United States","Severe"
32,8.8,"Government","3,00,00,000","2017-03-09","Identity Theft","Accidental Loss","South Africa","Severe"
33,8.3,"Retail","2,70,00,000","2018-05-30","Account Access","Malicious Outsider","United States","Severe"
34,8.8,"Government","37,00,000","2017-03-28","Identity Theft","Malicious Outsider","Hong Kong","Severe"
35,8.2,"Industrial","1,85,00,000","2018-02-07","Account Access","Malicious Outsider","Ukraine","Severe"
36,8.7,"Technology","60,00,000","2017-08-30","Account Access","Malicious Outsider","United States","Severe"
37,8.2,"Social Media","5,25,00,000","2018-11-13","Financial Access","Accidental Loss","United States","Severe"
38,8.7,"Other","60,00,000","2017-06-15","Account Access","Malicious Outsider","United States","Severe"
39,8.2,"Other","8,28,51,841","2018-11-14","Account Access","Accidental Loss","United States","Severe"
40,8.6,"Technology","4,00,00,000","2017-12-05","Account Access","Accidental Loss","United States","Severe"
41,8.2,"Other","94,00,000","2018-03-01","Identity Theft","Malicious Outsider","Hong Kong","Severe"
42,8.5,"Technology","20,00,000","2017-08-09","Identity Theft","Malicious Outsider","Czech Republic","Severe"
43,8.1,"Social Media","1,00,00,000","2018-06-13","Financial Access","Malicious Outsider","China","Severe"
44,8.5,"Retail","7,40,00,000","2017-10-01","Identity Theft","Accidental Loss","United States","Severe"
45,8.1,"Entertainment","3,20,00,000","2018-11-23","Identity Theft","Accidental Loss","Brazil","Severe"
46,8.5,"Technology","3,36,00,000","2017-03-15","Account Access","Accidental Loss","United States","Severe"
47,8,"Other","1,40,00,000","2018-01-14","Account Access","Malicious Outsider","United Arab Emirates","Severe"
48,8.4,"Social Media","2,10,00,000","2017-12-01","Financial Access","Malicious Outsider","United States","Severe"
49,8,"Entertainment","76,33,234","2018-12-28","Financial Access","Malicious Outsider","United States","Severe"
50,8.4,"Financial","16,00,000","2017-07-04","Identity Theft","Malicious Outsider","United States","Severe"
51,7.9,"Other","1,95,01,258","2018-02-08","Identity Theft","Accidental Loss","United States","Severe"
52,8.4,"Technology","4,60,00,000","2017-10-29","Nuisance","Accidental Loss","Malaysia","Severe"
53,7.9,"Technology","1,00,00,000","2018-05-06","Identity Theft","Hacktivist","Israel","Severe"
54,8.3,"Government","1,92,00,000","2017-12-15","Account Access","Accidental Loss","United States","Severe"
55,7.8,"Government","36,50,000","2018-11-17","Identity Theft","Malicious Outsider","United States","Severe"
56,8.3,"Retail","11,30,000","2017-12-21","Identity Theft","Malicious Outsider","Canada","Severe"
57,7.8,"Other","1,48,00,000","2018-08-23","Identity Theft","Accidental Loss","United States","Severe"
58,8.3,"Other","9,22,83,889","2017-10-26","Account Access","Accidental Loss","United States","Severe"
59,7.8,"Retail","50,00,000","2018-03-01","Financial Access","Malicious Outsider","United States","Severe"
60,8.3,"Technology","27,00,000","2017-11-17","Account Access","Malicious Outsider","Canada","Severe"
61,7.7,"Healthcare","30,00,000","2018-01-18","Identity Theft","Malicious Outsider","Norway","Severe"
62,8.3,"Technology","24,87,000","2017-03-15","Account Access","Malicious Outsider","United States","Severe"
63,7.7,"Financial","30,00,000","2018-09-02","Identity Theft","Malicious Outsider","Brazil","Severe"
64,8.2,"Retail","20,00,000","2017-08-29","Account Access","Malicious Outsider","United Kingdom","Severe"
65,7.7,"Technology","30,30,925","2018-04-12","Identity Theft","Malicious Outsider","United States","Severe"
66,8.2,"Education","20,00,000","2017-05-11","Account Access","Malicious Outsider","United States","Severe"
67,7.7,"Retail","64,20,000","2018-06-30","Account Access","Malicious Outsider","United Kingdom","Severe"
68,8.2,"Retail","3,70,00,000","2017-08-01","Identity Theft","Accidental Loss","United States","Severe"
69,7.6,"Technology","93,63,740","2018-11-05","Identity Theft","Accidental Loss","United States","Severe"
70,8.2,"Technology","19,01,700","2017-05-10","Account Access","Malicious Outsider","Canada","Severe"
71,7.6,"Government","1,40,00,000","2018-09-14","Financial Access","Accidental Loss","United States","Severe"
72,8.2,"Hospitality","9,90,000","2017-03-08","Identity Theft","Malicious Outsider","South Korea","Severe"
73,7.6,"Professional Services","26,52,537","2018-09-22","Identity Theft","Malicious Outsider","United States","Severe"
74,8.2,"Government","9,42,609","2017-07-25","Identity Theft","Malicious Outsider","United Kingdom","Severe"
75,7.6,"Hospitality","34,00,000","2018-06-08","Financial Access","Malicious Outsider","United States","Severe"
76,8.1,"Technology","1,40,00,000","2017-06-08","Account Access","Accidental Loss","United States","Severe"
77,7.6,"Education","1,03,00,000","2018-06-09","Identity Theft","Accidental Loss","Malaysia","Severe"
78,8.1,"Retail","1,00,00,000","2017-07-01","Financial Access","Malicious Outsider","United Kingdom","Severe"
79,7.5,"Retail","20,00,000","2018-06-26","Identity Theft","Malicious Outsider","United States","Severe"
80,8,"Healthcare","6,97,800","2017-03-01","Identity Theft","Malicious Outsider","United States","Severe"
81,7.5,"Financial","2,60,000","2018-02-15","Financial Access","Malicious Outsider","Japan","Severe"
82,7.9,"Entertainment","10,00,000","2017-09-02","Account Access","Malicious Outsider","Canada","Severe"
83,7.4,"Healthcare","15,00,000","2018-07-04","Identity Theft","Malicious Outsider","Singapore","Severe"
84,7.9,"Technology","40,00,000","2017-07-07","Account Access","Accidental Loss","United States","Severe"
85,7.4,"Technology","61,00,000","2018-03-09","Identity Theft","Accidental Loss","Israel","Severe"
86,7.9,"Healthcare","5,00,000","2017-04-18","Identity Theft","Malicious Outsider","United States","Severe"
87,7.4,"Healthcare","14,00,000","2018-03-14","Identity Theft","Malicious Outsider","United States","Severe"
88,7.9,"Entertainment","9,50,000","2017-02-23","Account Access","Malicious Outsider","United States","Severe"
89,7.4,"Healthcare","14,00,000","2018-03-14","Identity Theft","Malicious Outsider","United States","Severe"
90,7.8,"Entertainment","30,00,000","2017-07-04","Identity Theft","Accidental Loss","United States","Severe"
91,7.4,"Retail","20,00,000","2018-08-20","Financial Access","Malicious Outsider","United States","Severe"
92,7.8,"Financial","4,00,000","2017-07-09","Identity Theft","Malicious Outsider","Italy","Severe"
93,7.4,"Social Media","60,00,000","2018-06-01","Identity Theft","Accidental Loss","Canada","Severe"
94,7.7,"Technology","6,96,464","2017-05-22","Account Access","Malicious Outsider","United States","Severe"
95,7.4,"Social Media","30,00,000","2018-04-07","Identity Theft","Hacktivist","United States","Severe"
96,7.7,"Education","2,80,000","2017-11-08","Identity Theft","Malicious Outsider","United States","Severe"
97,7.4,"Social Media","18,72,070","2018-09-10","Financial Access","Malicious Outsider","Germany","Severe"
98,7.7,"Healthcare","3,00,000","2017-01-01","Identity Theft","Malicious Outsider","United States","Severe"
99,7.3,"Technology","53,00,000","2018-12-10","Identity Theft","Accidental Loss","China","Severe"
100,7.7,"Healthcare","2,79,663","2017-02-27","Identity Theft","Malicious Outsider","United States","Severe"
101,7.2,"Other","20,00,000","2018-05-23","Account Access","Malicious Outsider","Australia","Severe"
102,7.6,"Other","2,44,000","2017-09-25","Identity Theft","Malicious Outsider","United States","Severe"
103,7.2,"Retail","1,20,000","2018-04-24","Financial Access","Malicious Outsider","Japan","Severe"
104,7.6,"Industrial","3,70,000","2017-12-04","Financial Access","Malicious Outsider","United States","Severe"
105,7.1,"Healthcare","35,00,000","2018-03-14","Identity Theft","Accidental Loss","United States","Severe"
106,7.6,"Government","10,00,000","2017-11-01","Nuisance","Malicious Outsider","Canada","Severe"
107,7.1,"Retail","41,85,000","2018-08-01","Financial Access","Accidental Loss","Canada","Severe"
108,7.6,"Government","18,00,000","2017-08-17","Identity Theft","Accidental Loss","United States","Severe"
109,7.1,"Technology","30,00,000","2018-04-03","Identity Theft","Accidental Loss","United States","Severe"
110,7.6,"Financial","22,00,000","2017-10-08","Identity Theft","Accidental Loss","United States","Severe"
111,7,"Government","5,97,000","2018-02-11","Identity Theft","Malicious Outsider","United States","Severe"
112,7.6,"Government","18,70,000","2017-01-30","Identity Theft","Accidental Loss","United States","Severe"
113,7,"Retail","6,50,000","2018-07-30","Identity Theft","Malicious Outsider","United Kingdom","Severe"
114,7.6,"Retail","3,55,000","2017-01-19","Financial Access","Malicious Outsider","United States","Severe"
115,7,"Healthcare","5,66,236","2018-05-07","Identity Theft","Malicious Outsider","United States","Severe"
116,7.5,"Financial","2,70,000","2017-04-09","Financial Access","Malicious Outsider","United Kingdom","Severe"
117,7,"Healthcare","23,73,764","2018-08-03","Identity Theft","Accidental Loss","Mexico","Severe"
118,7.5,"Technology","8,19,977","2017-02-28","Account Access","Malicious Outsider","United States","Severe"
119,7,"Technology","45,00,000","2018-09-05","Account Access","Accidental Loss","Switzerland","Severe"
120,7.5,"Government","2,46,000","2017-04-09","Identity Theft","Malicious Insider","United States","Severe"
121,7,"Insurance","5,66,217","2018-05-30","Identity Theft","Malicious Outsider","United States","Severe"
122,7.5,"Financial","16,00,000","2017-11-09","Identity Theft","Accidental Loss","United States","Severe"
123,7,"Retail","1,09,99,535","2018-09-13","Nuisance","Accidental Loss","United States","Severe"
124,7.5,"Government","2,00,000","2017-06-28","Identity Theft","Malicious Outsider","United States","Severe"
125,6.9,"Education","5,00,000","2018-01-01","Identity Theft","Malicious Outsider","United States","Critical"
126,7.5,"Social Media","22,00,000","2017-07-18","Financial Access","Accidental Loss","United States","Severe"
127,6.9,"Other","10,00,000","2018-02-16","Account Access","Malicious Outsider","United States","Critical"
128,7.5,"Government","2,00,000","2017-05-26","Identity Theft","Malicious Outsider","United States","Severe"
129,6.8,"Other","8,50,000","2018-08-01","Account Access","Malicious Outsider","United States","Critical"
130,7.5,"Entertainment","4,00,000","2017-01-09","Account Access","Malicious Outsider","United States","Severe"
131,6.8,"Retail","3,80,000","2018-04-18","Identity Theft","Malicious Outsider","Hong Kong","Critical"
132,7.4,"Retail","1,43,000","2017-02-17","Identity Theft","Malicious Outsider","United States","Severe"
133,6.7,"Other","12,48,263","2018-08-17","Identity Theft","Accidental Loss","United States","Critical"
134,7.4,"Professional Services","3,00,000","2017-11-14","Account Access","Malicious Outsider","China","Severe"
135,6.7,"Other","4,29,000","2018-08-21","Financial Access","Malicious Outsider","United Kingdom","Critical"
136,7.4,"Education","13,00,000","2017-04-12","Identity Theft","Accidental Loss","United States","Severe"
137,6.7,"Retail","40,000","2018-01-15","Financial Access","Malicious Outsider","United States","Critical"
138,7.4,"Insurance","1,17,000","2017-04-22","Existential Data","Malicious Outsider","United Kingdom","Severe"
139,6.7,"Financial","15,00,000","2018-04-20","Nuisance","Malicious Insider","United States","Critical"
140,7.4,"Education","14,00,000","2017-02-21","Identity Theft","Accidental Loss","United States","Severe"
141,6.7,"Education","3,01,148","2018-09-18","Identity Theft","Malicious Outsider","Spain","Critical"
142,7.4,"Professional Services","2,00,000","2017-11-07","Financial Access","Malicious Outsider","Hong Kong","Severe"
143,6.7,"Technology","5,69,703","2018-06-17","Account Access","Malicious Outsider","Sweden","Critical"
144,7.4,"Healthcare","1,60,000","2017-03-19","Identity Theft","Malicious Outsider","United States","Severe"
145,6.6,"Healthcare","2,70,000","2018-03-22","Identity Theft","Malicious Outsider","United States","Critical"
146,7.3,"Financial","10,00,000","2017-01-07","Identity Theft","Accidental Loss","Israel","Severe"
147,6.6,"Government","5,40,563","2018-12-05","Account Access","Malicious Outsider","France","Critical"
148,7.3,"Financial","10,00,000","2017-04-28","Identity Theft","Accidental Loss","United States","Severe"
149,6.6,"Retail","13,14,193","2018-01-13","Financial Access","Accidental Loss","United States","Critical"
150,7.3,"Financial","1,27,310","2017-09-06","Identity Theft","Malicious Outsider","United States","Severe"
151,6.6,"Entertainment","2,61,948","2018-12-27","Identity Theft","Malicious Outsider","Australia","Critical"
152,7.3,"Healthcare","2,66,123","2017-06-14","Identity Theft","Malicious Outsider","United States","Severe"
153,6.6,"Technology","4,83,015","2018-05-01","Account Access","Malicious Outsider","Singapore","Critical"
154,7.3,"Industrial","20,00,000","2017-10-24","Account Access","Accidental Loss","Australia","Severe"
155,6.6,"Education","10,97,000","2018-01-22","Identity Theft","Accidental Loss","United States","Critical"
156,7.3,"Healthcare","1,30,000","2017-04-12","Identity Theft","Malicious Outsider","United States","Severe"
157,6.6,"Technology","10,00,000","2018-02-01","Identity Theft","Accidental Loss","United States","Critical"
158,7.3,"Healthcare","9,18,000","2017-04-10","Identity Theft","Accidental Loss","United States","Severe"
159,6.5,"Financial","1,60,000","2018-11-01","Existential Data","Malicious Outsider","United Kingdom","Critical"
160,7.2,"Technology","10,00,000","2017-11-11","Financial Access","Accidental Loss","United States","Severe"
161,6.5,"Non-profit","1,87,749","2018-02-14","Identity Theft","Malicious Outsider","United States","Critical"
162,7.2,"Healthcare","1,28,000","2017-07-26","Financial Access","Malicious Outsider","United States","Severe"
163,6.5,"Financial","2,61,463","2018-08-26","Financial Access","Malicious Outsider","Brazil","Critical"
164,7.2,"Technology","8,00,000","2017-06-11","Identity Theft","Accidental Loss","United Kingdom","Severe"
165,6.5,"Entertainment","4,11,000","2018-06-01","Account Access","Malicious Outsider","United States","Critical"
166,7.2,"Healthcare","93,323","2017-03-17","Identity Theft","Malicious Outsider","United States","Severe"
167,6.4,"Healthcare","1,68,490","2018-05-10","Identity Theft","Malicious Outsider","United States","Critical"
168,7.2,"Government","2,00,000","2017-06-07","Account Access","Malicious Outsider","United States","Severe"
169,6.4,"Entertainment","6,93,000","2018-01-08","Identity Theft","Accidental Loss","France","Critical"
170,7.2,"Healthcare","7,08,000","2017-04-12","Identity Theft","Accidental Loss","United Kingdom","Severe"
171,6.4,"Insurance","1,65,800","2018-09-04","Identity Theft","Malicious Outsider","United States","Critical"
172,7.2,"Government","4,00,000","2017-12-01","Nuisance","Malicious Outsider","United States","Severe"
173,6.4,"Other","3,50,000","2018-06-29","Account Access","Malicious Outsider","Netherlands","Critical"
174,7.2,"Government","1,00,000","2017-04-06","Identity Theft","Malicious Outsider","United States","Severe"
175,6.3,"Hospitality","1,24,963","2018-06-15","Identity Theft","Malicious Outsider","Japan","Critical"
176,7.2,"Retail","95,000","2017-03-07","Identity Theft","Malicious Outsider","Canada","Severe"
177,6.3,"Technology","2,30,000","2018-06-15","Account Access","Malicious Outsider","Sweden","Critical"
178,7.2,"Financial","94,664","2017-04-16","Identity Theft","Malicious Outsider","United Kingdom","Severe"
179,6.3,"Financial","1,17,000","2018-07-25","Identity Theft","Malicious Outsider","Thailand","Critical"
180,7.2,"Financial","7,19,830","2017-03-19","Identity Theft","Accidental Loss","Japan","Severe"
181,6.3,"Government","9,34,000","2018-05-07","Account Access","Accidental Loss","South Africa","Critical"
182,7.1,"Healthcare","85,995","2017-03-02","Identity Theft","Malicious Outsider","United States","Severe"
183,6.3,"Healthcare","1,35,000","2018-01-08","Identity Theft","Malicious Outsider","United States","Critical"
184,7.1,"Healthcare","79,930","2017-02-23","Identity Theft","Malicious Outsider","United States","Severe"
185,6.3,"Insurance","7,00,000","2018-04-01","Financial Access","Accidental Loss","France","Critical"
186,7.1,"Healthcare","75,000","2017-01-23","Identity Theft","Malicious Outsider","United States","Severe"
187,6.3,"Healthcare","1,28,400","2018-04-20","Identity Theft","Malicious Outsider","United States","Critical"
188,7.1,"Financial","9,00,000","2017-11-17","Financial Access","Accidental Loss","United Kingdom","Severe"
189,6.3,"Retail","1,62,507","2018-04-26","Financial Access","Malicious Outsider","United States","Critical"
190,7.1,"Healthcare","1,08,000","2017-06-22","Identity Theft","Malicious Insider","United Kingdom","Severe"
191,6.3,"Social Media","2,75,785","2018-05-01","Account Access","Malicious Outsider","United States","Critical"
192,7.1,"Healthcare","7,00,000","2017-11-29","Identity Theft","Accidental Loss","United Kingdom","Severe"
193,6.3,"Hospitality","1,65,000","2018-09-06","Financial Access","Malicious Outsider","United States","Critical"
194,7.1,"Government","5,93,328","2017-09-14","Identity Theft","Accidental Loss","United States","Severe"
195,6.2,"Healthcare","93,689","2018-10-13","Identity Theft","Malicious Outsider","United States","Critical"
196,7.1,"Professional Services","80,000","2017-10-03","Identity Theft","Malicious Outsider","United States","Severe"
197,6.2,"Healthcare","2,00,000","2018-03-29","Identity Theft","Hacktivist","United States","Critical"
198,7.1,"Healthcare","79,930","2017-01-03","Identity Theft","Malicious Outsider","United States","Severe"
199,6.2,"Insurance","99,797","2018-03-28","Identity Theft","Malicious Outsider","United States","Critical"
200,7.1,"Government","80,000","2017-05-04","Identity Theft","Malicious Outsider","United States","Severe"
201,6.2,"Healthcare","1,05,000","2018-05-23","Identity Theft","Malicious Outsider","United States","Critical"
202,7.1,"Retail","8,80,000","2017-10-01","Identity Theft","Malicious Outsider","United States","Severe"
203,6.2,"Education","3,60,000","2018-02-26","Identity Theft","Accidental Loss","United States","Critical"
204,7.1,"Education","80,000","2017-05-01","Identity Theft","Malicious Outsider","Japan","Severe"
205,6.2,"Other","7,64,357","2018-04-28","Account Access","Accidental Loss","United States","Critical"
206,7.1,"Technology","1,50,000","2017-10-26","Identity Theft","Malicious Outsider","Unknown","Severe"
207,6.2,"Other","94,148","2018-04-05","Identity Theft","Malicious Outsider","United States","Critical"
208,7.1,"Technology","1,66,064","2017-01-09","Account Access","Malicious Outsider","United States","Severe"
209,6.2,"Social Media","5,00,000","2018-05-01","Financial Access","Accidental Loss","United States","Critical"
210,7,"Healthcare","65,000","2017-03-09","Identity Theft","Malicious Outsider","United States","Severe"
211,6.2,"Retail","14,734","2018-01-20","Financial Access","Malicious Outsider","United States","Critical"
212,7,"Financial","4,50,000","2017-04-03","Identity Theft","Accidental Loss","Netherlands","Severe"
213,6.1,"Healthcare","85,000","2018-02-08","Identity Theft","Malicious Outsider","United States","Critical"
214,7,"Retail","8,25,000","2017-09-26","Financial Access","Malicious Outsider","United States","Severe"
215,6.1,"Entertainment","5,75,437","2018-12-07","Account Access","Unknown","Slovakia","Critical"
216,7,"Government","55,000","2017-04-12","Existential Data","Malicious Outsider","United States","Severe"
217,6.1,"Hospitality","77,587","2018-05-25","Identity Theft","Malicious Outsider","United States","Critical"
218,7,"Healthcare","66,000","2017-09-15","Identity Theft","Malicious Outsider","United States","Severe"
219,6.1,"Healthcare","3,01,000","2018-06-01","Identity Theft","Accidental Loss","United States","Critical"
220,7,"Retail","20,00,000","2017-02-09","Nuisance","Accidental Loss","United States","Severe"
221,6,"Entertainment","1,23,857","2018-02-01","Account Access","Malicious Outsider","United States","Critical"
222,7,"Healthcare","1,34,000","2017-05-09","Identity Theft","Malicious Outsider","United States","Severe"
223,6,"Healthcare","64,487","2018-03-09","Identity Theft","Malicious Outsider","United States","Critical"
224,6.9,"Retail","6,09,064","2017-12-22","Financial Access","Malicious Outsider","United States","Critical"
225,6,"Other","64,000","2018-10-28","Identity Theft","Malicious Outsider","Belgium","Critical"
226,6.9,"Government","94,000","2017-09-19","Account Access","Malicious Outsider","Canada","Critical"
227,6,"Healthcare","6,546","2018-03-31","Identity Theft","Malicious Outsider","United States","Critical"
228,6.9,"Retail","60,000","2017-10-02","Financial Access","Malicious Outsider","United States","Critical"
229,6,"Social Media","2,65,410","2018-11-30","Nuisance","Malicious Outsider","United States","Critical"
230,6.9,"Healthcare","53,000","2017-11-01","Identity Theft","Malicious Outsider","United States","Critical"
231,6,"Retail","75,000","2018-08-15","Financial Access","Malicious Outsider","Canada","Critical"
232,6.9,"Healthcare","46,632","2017-04-19","Identity Theft","Malicious Outsider","United States","Critical"
233,6,"Technology","2,03,896","2018-08-19","Existential Data","Accidental Loss","Russia","Critical"
234,6.9,"Technology","6,85,000","2017-09-01","Financial Access","Malicious Outsider","Singapore","Critical"
235,5.9,"Entertainment","1,07,000","2018-10-18","Account Access","Malicious Outsider","United States","Critical"
236,6.9,"Retail","67,000","2017-01-30","Financial Access","Malicious Outsider","United States","Critical"
237,5.9,"Education","70,000","2018-11-01","Identity Theft","Malicious Insider","United States","Critical"
238,6.9,"Healthcare","47,000","2017-12-05","Identity Theft","Malicious Outsider","United States","Critical"
239,5.9,"Retail","50,000","2018-01-01","Identity Theft","Malicious Outsider","Malaysia","Critical"
240,6.9,"Retail","8,21,296","2017-01-07","Account Access","Accidental Loss","United States","Critical"
241,5.9,"Healthcare","44,979","2018-05-12","Identity Theft","Malicious Outsider","United States","Critical"
242,6.8,"Financial","4,55,000","2017-09-07","Financial Access","Accidental Loss","Mexico","Critical"
243,5.9,"Retail","1,98,000","2018-12-19","Nuisance","Malicious Outsider","United States","Critical"
244,6.8,"Healthcare","4,17,000","2017-09-10","Identity Theft","Malicious Outsider","United States","Critical"
245,5.9,"Retail","64,270","2018-02-25","Financial Access","Malicious Outsider","United States","Critical"
246,6.8,"Hospitality","5,67,000","2017-11-03","Financial Access","Malicious Outsider","United States","Critical"
247,5.9,"Financial","50,000","2018-05-28","Identity Theft","Malicious Outsider","Canada","Critical"
248,6.8,"Healthcare","43,000","2017-11-01","Identity Theft","Malicious Outsider","United States","Critical"
249,5.9,"Other","1,86,082","2018-05-01","Identity Theft","Unknown","United States","Critical"
250,6.8,"Technology","43,000","2017-02-27","Identity Theft","Malicious Outsider","United Kingdom","Critical"
251,5.9,"Healthcare","4,40,000","2018-01-24","Account Access","Accidental Loss","Malaysia","Critical"
252,6.8,"Healthcare","56,075","2017-06-27","Identity Theft","Malicious Insider","United States","Critical"
253,5.9,"Retail","1,00,000","2018-01-25","Account Access","Malicious Outsider","Canada","Critical"
254,6.8,"Professional Services","40,000","2017-10-11","Identity Theft","Malicious Outsider","United States","Critical"
255,5.9,"Technology","2,61,259","2018-09-10","Financial Access","Accidental Loss","Italy","Critical"
256,6.8,"Healthcare","3,16,000","2017-09-27","Identity Theft","Accidental Loss","United States","Critical"
257,5.9,"Professional Services","44,600","2018-07-01","Identity Theft","Malicious Outsider","United States","Critical"
258,6.8,"Technology","4,00,000","2017-01-25","Financial Access","Accidental Loss","United States","Critical"
259,5.8,"Healthcare","1,50,000","2018-07-10","Identity Theft","Accidental Loss","United Kingdom","Critical"
260,6.7,"Education","32,000","2017-05-18","Identity Theft","Malicious Outsider","United States","Critical"
261,5.8,"Healthcare","42,625","2018-03-28","Identity Theft","Malicious Outsider","United States","Critical"
262,6.7,"Professional Services","5,40,000","2017-09-20","Account Access","Accidental Loss","United States","Critical"
263,5.8,"Healthcare","42,000","2018-02-01","Identity Theft","Malicious Outsider","United States","Critical"
264,6.7,"Education","28,000","2017-09-07","Identity Theft","Malicious Outsider","United States","Critical"
265,5.8,"Other","3,09,000","2018-11-27","Account Access","Accidental Loss","United Kingdom","Critical"
266,6.7,"Education","30,000","2017-09-20","Identity Theft","Malicious Outsider","Ireland","Critical"
267,5.8,"Education","42,000","2018-08-17","Identity Theft","Malicious Outsider","United States","Critical"
268,6.7,"Technology","62,000","2017-12-20","Account Access","Malicious Outsider","United States","Critical"
269,5.8,"Financial","40,000","2018-05-28","Identity Theft","Malicious Outsider","Canada","Critical"
270,6.7,"Government","30,000","2017-11-13","Identity Theft","Malicious Outsider","United States","Critical"
271,5.8,"Healthcare","40,000","2018-08-22","Identity Theft","Malicious Outsider","United States","Critical"
272,6.7,"Healthcare","29,579","2017-12-28","Identity Theft","Malicious Outsider","United States","Critical"
273,5.8,"Healthcare","38,000","2018-05-01","Identity Theft","Malicious Outsider","United States","Critical"
274,6.7,"Government","30,000","2017-11-19","Identity Theft","Malicious Outsider","United States","Critical"
275,5.8,"Healthcare","40,000","2018-09-03","Identity Theft","Malicious Outsider","United States","Critical"
276,6.7,"Non-profit","64,000","2017-04-11","Account Access","Malicious Outsider","United Kingdom","Critical"
277,5.8,"Financial","36,840","2018-01-26","Identity Theft","Malicious Outsider","United States","Critical"
278,6.7,"Healthcare","33,000","2017-04-12","Identity Theft","Malicious Outsider","United States","Critical"
279,5.8,"Hospitality","82,150","2018-04-23","Account Access","Malicious Outsider","Philippines","Critical"
280,6.7,"Healthcare","2,79,865","2017-11-07","Identity Theft","Malicious Outsider","United States","Critical"
281,5.8,"Insurance","37,000","2018-06-18","Identity Theft","Malicious Outsider","United States","Critical"
282,6.7,"Financial","30,000","2017-10-16","Identity Theft","Malicious Outsider","South Korea","Critical"
283,5.8,"Other","36,485","2018-03-02","Identity Theft","Malicious Outsider","United States","Critical"
284,6.6,"Entertainment","1,80,000","2017-01-25","Existential Data","Malicious Outsider","United Kingdom","Critical"
285,5.8,"Healthcare","47,948","2018-09-22","Financial Access","Malicious Outsider","United States","Critical"
286,6.6,"Government","26,044","2017-09-18","Identity Theft","Malicious Outsider","United States","Critical"
287,5.8,"Healthcare","41,948","2018-09-26","Identity Theft","Malicious Outsider","United States","Critical"
288,6.6,"Healthcare","24,809","2017-01-27","Identity Theft","Malicious Outsider","United States","Critical"
