,,Skill / Job Role(Historical trends & salary statistics),Rank6 Months to3 Mar 2019,RankChangeYear-on-Year,Median Salary6 Months to3 Mar 2019,Median Salary% ChangeYear-on-Year,HistoricalPermanentJob Ads,LiveJobVacancies
42,NA,Mentoring,42,23,"£55,000",-,"8,270 (5.54%)","1,525"
43,NA,Continuous Integration,43,7,"£57,500",4.54%,"8,134 (5.45%)","1,543"
44,NA,Banking,44,-1,"£65,000",4.00%,"8,025 (5.37%)",937
45,NA,Docker,45,35,"£62,500",4.16%,"8,018 (5.37%)","1,965"
46,NA,QA,46,12,"£50,000",-,"7,874 (5.27%)","1,419"
47,NA,SDLC,47,0,"£52,500",5.00%,"7,749 (5.19%)","1,270"
48,NA,Microservices,48,46,"£65,000",4.00%,"7,738 (5.18%)","1,423"
49,NA,VMware,49,-3,"£45,000",5.88%,"7,691 (5.15%)","1,353"
50,NA,Java Developer,50,7,"£60,000",9.09%,"7,630 (5.11%)","1,262"
51,NA,Senior Developer,51,3,"£60,000",9.09%,"7,470 (5.00%)","1,497"
52,NA,C# Developer,52,-4,"£47,500",5.55%,"7,435 (4.98%)","1,362"
53,NA,C++,53,9,"£52,500",5.00%,"7,326 (4.91%)","1,907"
54,NA,Office 365,54,20,"£40,000",2.56%,"7,289 (4.88%)","1,230"
55,NA,Retail,55,-13,"£52,500",5.00%,"7,257 (4.86%)","1,638"
56,NA,React,56,16,"£55,000",4.76%,"7,237 (4.85%)","1,754"
57,NA,Marketing,57,3,"£50,000",11.11%,"7,182 (4.81%)","1,875"
58,NA,User Experience,58,8,"£52,500",5.00%,"7,122 (4.77%)","1,634"
59,NA,Windows Server,59,-4,"£40,000",-,"7,118 (4.77%)","1,222"
60,NA,Consultant,60,-25,"£57,500",4.54%,"7,094 (4.75%)","1,697"
61,NA,Firewall,61,8,"£47,500",3.26%,"6,834 (4.58%)","1,180"
62,NA,Cisco,62,9,"£47,500",3.26%,"6,597 (4.42%)","1,193"
63,NA,Software Engineer,63,12,"£50,000",-,"6,410 (4.29%)","1,690"
64,NA,OO,64,-15,"£50,000",-,"6,317 (4.23%)","1,379"
65,NA,PHP,65,-20,"£42,500",-,"6,299 (4.22%)","1,752"
66,NA,jQuery,66,-25,"£45,000",5.88%,"6,250 (4.19%)","1,565"
67,NA,Node.js,66,-2,"£57,275",14.55%,"6,250 (4.19%)","1,611"
68,NA,HTML5,67,-14,"£47,500",5.55%,"6,132 (4.11%)","1,575"
69,NA,Web Development,68,-17,"£45,000",5.88%,"6,131 (4.11%)","1,677"
70,NA,Microsoft Office,69,4,"£35,000",7.69%,"6,088 (4.08%)","1,007"
71,NA,Jenkins,70,15,"£60,000",4.34%,"6,061 (4.06%)","1,336"
72,NA,MySQL,71,-10,"£47,500",5.55%,"5,978 (4.00%)","1,429"
73,NA,JIRA,72,14,"£51,000",2.00%,"5,856 (3.92%)","1,081"
74,NA,Fintech,73,28,"£62,500",4.16%,"5,773 (3.87%)",862
75,NA,Spring,74,7,"£57,500",4.54%,"5,708 (3.82%)","1,093"
76,NA,Continuous Improvement,75,20,"£53,698",2.28%,"5,671 (3.80%)","1,008"
77,NA,BDD,76,-20,"£55,000",10.00%,"5,664 (3.79%)","1,047"
78,NA,RESTful,77,-10,"£55,000",10.00%,"5,637 (3.77%)","1,201"
79,NA,CRM,78,-10,"£50,000",-,"5,548 (3.72%)","1,209"
80,NA,ASP.NET MVC,79,-20,"£47,500",5.55%,"5,474 (3.67%)","1,151"
81,NA,Security Cleared,80,44,"£50,000",11.11%,"5,419 (3.63%)","1,537"
82,NA,E-Commerce,81,-18,"£53,000",0.95%,"5,409 (3.62%)","1,119"
83,NA,Greenfield Project,82,0,"£55,000",4.76%,"5,387 (3.61%)",998
84,NA,REST,83,0,"£55,000",-,"5,338 (3.57%)","1,150"
85,NA,Big Data,84,4,"£67,500",8.00%,"5,285 (3.54%)",907
86,NA,Software Developer,85,5,"£42,500",-,"5,281 (3.54%)","1,369"
87,NA,Information Security,86,28,"£60,000",-,"5,227 (3.50%)",671
88,NA,Project Manager,87,-9,"£55,000",2.80%,"5,134 (3.44%)",772
89,NA,Business Analyst,88,-12,"£50,000",-,"5,065 (3.39%)",512
90,NA,SAP,89,-19,"£57,500",4.54%,"5,037 (3.37%)",801
91,NA,PowerShell,90,23,"£52,500",-,"5,010 (3.35%)",916
92,NA,C,91,9,"£50,000",-,"4,990 (3.34%)","1,591"
93,NA,Front End Development,92,-5,"£50,000",5.26%,"4,962 (3.32%)","1,314"
94,NA,NoSQL,93,-14,"£60,000",9.09%,"4,927 (3.30%)",877
95,NA,Coaching,94,35,"£55,000",-4.34%,"4,896 (3.28%)",757
96,NA,Self-Motivation,95,4,"£42,500",-5.55%,"4,861 (3.26%)","1,122"
97,NA,VMware Infrastructure,96,2,"£45,000",5.88%,"4,860 (3.25%)",872
98,NA,SaaS,97,8,"£57,500",9.31%,"4,849 (3.25%)",883
99,NA,Unix,98,-21,"£55,000",2.80%,"4,777 (3.20%)",764
100,NA,Cybersecurity,99,64,"£55,000",-4.34%,"4,756 (3.18%)",996
101,NA,Machine Learning,100,34,"£65,000",8.33%,"4,731 (3.17%)",820
102,NA,Migration,101,19,"£57,500",-,"4,658 (3.12%)","1,116"
103,NA,XML,102,-18,"£48,000",1.05%,"4,655 (3.12%)",855
104,NA,Google,103,0,"£60,000",33.33%,"4,556 (3.05%)","1,122"
105,NA,Telecoms,104,15,"£50,000",2.04%,"4,523 (3.03%)",810
106,NA,T-SQL,105,-13,"£47,500",5.55%,"4,519 (3.03%)",801
107,NA,Mathematics,106,6,"£50,000",-,"4,496 (3.01%)","1,221"
108,NA,C# .NET Developer,107,-14,"£47,500",5.55%,"4,494 (3.01%)",808
109,NA,Kubernetes,108,143,"£65,000",-,"4,480 (3.00%)","1,228"
110,NA,ASP.NET Web API,109,-12,"£50,000",11.11%,"4,454 (2.98%)",915
111,NA,Ansible,110,35,"£65,000",4.00%,"4,401 (2.95%)",926
112,NA,Change Management,111,-3,"£53,408",0.29%,"4,384 (2.94%)",543
113,NA,Service Delivery,112,4,"£50,000",-,"4,300 (2.88%)",542
114,NA,.NET Framework,113,-22,"£47,500",5.55%,"4,299 (2.88%)","1,025"
115,NA,Open Source,114,-8,"£60,000",4.34%,"4,286 (2.87%)",889
116,NA,Microsoft Excel,115,-5,"£42,500",11.84%,"4,259 (2.85%)",865
117,NA,Selenium,116,-7,"£47,500",-,"4,222 (2.83%)",726
118,NA,Data Warehouse,117,8,"£55,000",8.91%,"4,195 (2.81%)",795
119,NA,Relational Database,118,12,"£52,500",5.00%,"4,143 (2.77%)",746
120,NA,Data Centre,119,3,"£54,860",-0.25%,"4,126 (2.76%)",695
121,NA,Business Analysis,120,-5,"£52,500",5.00%,"4,123 (2.76%)",519
122,NA,Management Information System,121,20,"£50,000",-,"4,114 (2.75%)",701
123,NA,Unit Testing,122,-1,"£50,000",-,"4,103 (2.75%)",823
124,NA,Computer Science Degree,123,0,"£50,000",5.26%,"4,026 (2.70%)",717
125,NA,Junior,124,3,"£30,000",-,"4,005 (2.68%)",922
126,NA,Decision-Making,125,41,"£53,500",-2.72%,"3,988 (2.67%)",615
127,NA,SQL Server Integration Services,126,-9,"£50,000",5.26%,"3,960 (2.65%)",720
128,NA,Support Engineer,127,1,"£32,500",-,"3,959 (2.65%)",454
129,NA,PRINCE2,128,-21,"£55,000",4.76%,"3,950 (2.65%)",426
130,NA,Artificial Intelligence,129,91,"£65,000",8.33%,"3,924 (2.63%)",732
131,NA,Presales,130,8,"£65,000",4.00%,"3,904 (2.61%)",702
132,NA,Waterfall,131,25,"£55,000",6.79%,"3,902 (2.61%)",408
133,NA,WAN,132,3,"£45,500",1.11%,"3,822 (2.56%)",698
134,NA,ETL,133,6,"£55,000",4.76%,"3,805 (2.55%)",645
135,NA,DevOps Engineer,134,33,"£65,000",8.33%,"3,801 (2.55%)",929
136,NA,SQL Server Reporting Services,135,-31,"£47,500",5.55%,"3,790 (2.54%)",818
137,NA,Support Analyst,136,-3,"£32,500",8.33%,"3,731 (2.50%)",360
138,NA,Infrastructure Engineering,137,21,"£47,500",7.95%,"3,709 (2.48%)",838
139,NA,Cisco Certification,138,21,"£50,750",7.97%,"3,688 (2.47%)",625
140,NA,SharePoint,139,-6,"£45,000",-,"3,682 (2.47%)",681
141,NA,LAN,140,20,"£43,500",2.35%,"3,612 (2.42%)",626
142,NA,Data Science,141,41,"£65,000",4.00%,"3,582 (2.40%)",549
143,NA,Mobile App,142,-16,"£50,000",11.11%,"3,581 (2.40%)",810
144,NA,SLA,143,11,"£39,000",11.42%,"3,575 (2.39%)",450
145,NA,SC Cleared,144,83,"£50,000",11.11%,"3,569 (2.39%)","1,078"
146,NA,Ruby,145,-56,"£57,500",9.10%,"3,555 (2.38%)",740
147,NA,Android,146,1,"£50,000",5.26%,"3,554 (2.38%)",777
148,NA,Puppet,147,-15,"£62,500",4.16%,"3,553 (2.38%)",693
149,NA,ERP,148,-30,"£51,000",2.00%,"3,549 (2.38%)","1,149"
150,NA,Service Management,149,-13,"£47,500",-,"3,544 (2.37%)",411
151,NA,CSS3,150,-48,"£47,500",5.55%,"3,527 (2.36%)","1,012"
152,NA,DNS,151,-8,"£42,500",-,"3,482 (2.33%)",771
153,NA,Google Cloud Platform,152,194,"£67,500",12.50%,"3,468 (2.32%)",706
154,NA,Risk Management,153,-3,"£60,000",-,"3,466 (2.32%)",455
155,NA,Windows 10,154,41,"£32,500",1.56%,"3,456 (2.31%)",505
156,NA,Visual Studio,155,-7,"£46,500",3.33%,"3,428 (2.30%)",735
157,NA,Kanban,156,-12,"£55,000",-,"3,340 (2.24%)",570
158,NA,TCP/IP,157,-17,"£42,500",-,"3,325 (2.23%)",714
159,NA,User Stories,158,49,"£54,000",8.00%,"3,298 (2.21%)",462
160,NA,JSON,159,11,"£55,000",15.78%,"3,267 (2.19%)",728
161,NA,Front End Developer (Client-Side Developer),160,-11,"£47,500",5.55%,"3,257 (2.18%)",878
162,NA,Configuration Management,161,3,"£57,500",-,"3,256 (2.18%)",660
163,NA,Citrix,162,-25,"£42,500",6.25%,"3,232 (2.16%)",520
164,NA,Data Modelling,163,11,"£60,000",9.09%,"3,223 (2.16%)",563
165,NA,Bash Shell,164,13,"£57,500",4.54%,"3,197 (2.14%)",676
166,NA,PostgreSQL,165,38,"£57,500",4.54%,"3,187 (2.13%)",613
167,NA,Continuous Delivery,166,75,"£60,000",-,"3,180 (2.13%)",485
168,NA,MongoDB,167,-25,"£60,000",9.09%,"3,154 (2.11%)",652
169,NA,Apple iOS,168,7,"£50,000",-,"3,118 (2.09%)",631
170,NA,OOP,169,-38,"£47,500",5.55%,"3,077 (2.06%)",828
171,NA,Asset Management,170,21,"£62,500",8.69%,"3,026 (2.03%)",339
172,NA,Microsoft Certification,171,-19,"£42,500",6.25%,"2,995 (2.01%)",719
173,NA,Internet,172,7,"£50,000",11.11%,"2,968 (1.99%)",576
174,NA,Windows 7,173,-5,"£31,000",3.33%,"2,947 (1.97%)",343
175,NA,Solutions Architect,174,23,"£75,000",-,"2,911 (1.95%)",668
176,NA,Hyper-V,175,5,"£42,500",6.25%,"2,904 (1.94%)",564
177,NA,MS Exchange,176,-5,"£35,000",2.94%,"2,870 (1.92%)",409
178,NA,Manufacturing,177,-26,"£48,100",-0.82%,"2,862 (1.92%)","1,638"
179,NA,Data Analysis,178,10,"£50,000",11.11%,"2,848 (1.91%)",543
180,NA,SOAP,179,-6,"£50,000",-,"2,840 (1.90%)",581
181,NA,Visualisation,180,50,"£52,500",-,"2,830 (1.90%)",552
182,NA,Algorithms,181,20,"£62,500",4.16%,"2,812 (1.88%)",649
183,NA,Power BI,182,76,"£50,000",5.26%,"2,773 (1.86%)",620
184,NA,Legal,183,-18,"£52,500",-,"2,769 (1.85%)","1,255"
185,NA,Line Management,184,12,"£55,000",-,"2,768 (1.85%)",441
186,NA,Games,185,-30,"£50,000",11.11%,"2,761 (1.85%)",922
187,NA,Collaborative Working,186,25,"£52,095",4.19%,"2,760 (1.85%)",530
188,NA,Team Foundation Server,187,-1,"£50,000",5.26%,"2,757 (1.85%)",535
189,NA,Twitter Bootstrap,188,-42,"£47,500",11.76%,"2,754 (1.84%)",668
190,NA,Administrator,189,-17,"£42,500",-,"2,740 (1.83%)",769
191,NA,IT Strategy,190,49,"£65,000",-,"2,722 (1.82%)",349
192,NA,Infrastructure Engineer,191,33,"£45,000",5.88%,"2,718 (1.82%)",647
193,NA,Terraform,192,143,"£67,500",3.84%,"2,712 (1.82%)",661
194,NA,Windows Server 2012,193,-36,"£38,000",3.10%,"2,704 (1.81%)",458
195,NA,Hadoop,194,-5,"£70,000",7.69%,"2,690 (1.80%)",453
196,NA,Full Stack Developer,195,39,"£50,000",-,"2,681 (1.80%)",699
197,NA,GDPR,196,88,"£52,500",-12.50%,"2,639 (1.77%)",487
198,NA,Java 8,197,45,"£62,500",4.16%,"2,632 (1.76%)",571
199,NA,ISO/IEC 27001,198,23,"£55,000",-4.34%,"2,611 (1.75%)",381
200,NA,JavaScript Developer,199,-46,"£50,000",-,"2,597 (1.74%)",639
201,NA,.NET Core,200,307,"£52,500",5.00%,"2,580 (1.73%)",696
202,NA,IT Support,201,28,"£28,000",7.69%,"2,576 (1.72%)",617
203,NA,Time Management,202,6,"£45,000",-,"2,572 (1.72%)",617
204,NA,Enterprise Software,203,-13,"£55,000",-,"2,560 (1.71%)",424
205,NA,IT Manager,204,-20,"£53,500",1.90%,"2,548 (1.71%)",325
206,NA,SCCM,205,27,"£45,000",5.88%,"2,531 (1.69%)",337
207,NA,Graduate,206,25,"£27,500",3.77%,"2,499 (1.67%)",498
208,NA,SQL Developer,207,-31,"£47,500",5.55%,"2,496 (1.67%)",434
209,NA,Opscode Chef,208,-30,"£62,500",4.16%,"2,481 (1.66%)",490
210,NA,WCF,209,-98,"£50,000",7.52%,"2,479 (1.66%)",454
211,NA,Windows Server 2008,210,-41,"£37,500",7.14%,"2,438 (1.63%)",387
212,NA,Scala,211,-19,"£70,000",3.70%,"2,426 (1.62%)",439
213,NA,Salesforce.com,212,-27,"£52,500",-4.54%,"2,420 (1.62%)",615
214,NA,Customer Requirements,213,55,"£52,500",5.00%,"2,416 (1.62%)",441
215,NA,Workflow,214,5,"£52,500",5.00%,"2,414 (1.62%)",519
216,NA,PHP Developer,215,-53,"£40,000",6.66%,"2,409 (1.61%)",666
217,NA,SOA,216,-35,"£65,000",4.83%,"2,403 (1.61%)",387
218,NA,Network Security,217,27,"£55,000",4.76%,"2,390 (1.60%)",353
219,NA,CISSP,218,-1,"£60,000",-,"2,376 (1.59%)",303
220,NA,VPN,219,-15,"£45,000",-,"2,371 (1.59%)",466
221,NA,Network Engineer,220,27,"£47,500",5.55%,"2,370 (1.59%)",484
222,NA,Law,221,-16,"£60,000",20.00%,"2,332 (1.56%)",462
223,NA,Tableau,222,33,"£50,000",-,"2,303 (1.54%)",342
224,NA,Lead Developer,222,-6,"£65,000",4.00%,"2,303 (1.54%)",414
225,NA,DHCP,223,-5,"£40,000",-,"2,300 (1.54%)",482
226,NA,Data Analytics,224,35,"£60,000",9.09%,"2,291 (1.53%)",447
227,NA,Apache,225,-11,"£50,000",-,"2,283 (1.53%)",420
228,NA,Maven,226,12,"£57,500",-,"2,280 (1.53%)",381
229,NA,Advertising,227,-131,"£55,000",15.78%,"2,245 (1.50%)",900
230,NA,IT Analyst,228,45,"£33,500",4.68%,"2,242 (1.50%)",246
231,NA,Incident Management,229,7,"£45,000",-,"2,239 (1.50%)",261
232,NA,Entity Framework,230,-47,"£45,000",-,"2,236 (1.50%)",540
233,NA,Applications Support,231,-22,"£40,000",-,"2,233 (1.50%)",207
234,NA,Elasticsearch,232,32,"£60,000",4.34%,"2,203 (1.48%)",421
235,NA,Business Development,233,-21,"£57,500",4.54%,"2,193 (1.47%)",488
236,NA,TypeScript,234,94,"£52,500",5.00%,"2,187 (1.46%)",572
237,NA,CMS,235,-41,"£45,000",-,"2,180 (1.46%)",518
238,NA,Data Protection,236,48,"£55,000",-,"2,176 (1.46%)",343
239,NA,PaaS,237,41,"£67,500",3.84%,"2,172 (1.45%)",464
240,NA,Cucumber,238,-15,"£52,500",5.00%,"2,168 (1.45%)",377
241,NA,User Acceptance Testing,239,-40,"£50,000",11.11%,"2,166 (1.45%)",350
242,NA,Sass,240,-27,"£45,000",-,"2,159 (1.45%)",678
243,NA,Kafka,241,102,"£70,000",3.70%,"2,156 (1.44%)",410
244,NA,Junior Developer,242,4,"£30,000",-,"2,154 (1.44%)",506
245,NA,Apache Spark,243,-3,"£75,000",7.14%,"2,152 (1.44%)",373
246,NA,Web Developer,244,-61,"£41,500",3.75%,"2,143 (1.44%)",698
247,NA,HP,245,-19,"£43,500",-3.33%,"2,137 (1.43%)",409
248,NA,Data Management,245,-10,"£57,500",0.87%,"2,137 (1.43%)",450
249,NA,Vue.js,246,222,"£47,500",-,"2,135 (1.43%)",570
250,NA,Multithreading,247,-32,"£65,000",15.04%,"2,134 (1.43%)",402
251,NA,High Availability,248,-5,"£55,000",4.76%,"2,133 (1.43%)",370
252,NA,Tester,249,1,"£45,000",3.44%,"2,124 (1.42%)",446
253,NA,Technical Leadership,250,10,"£63,354",-2.53%,"2,122 (1.42%)",445
254,NA,Senior Analyst,251,11,"£49,000",-2.00%,"2,115 (1.42%)",221
255,NA,Software Testing,252,13,"£41,500",3.75%,"2,085 (1.40%)",381
256,NA,Confluence,253,66,"£55,000",-,"2,068 (1.38%)",334
257,NA,CCNP,254,18,"£55,000",10.00%,"2,064 (1.38%)",342
258,NA,Wireless,255,-10,"£47,500",-,"2,060 (1.38%)",415
259,NA,IIS,256,-3,"£50,000",11.11%,"2,058 (1.38%)",325
260,NA,Disaster Recovery,257,0,"£50,000",-,"2,054 (1.38%)",317
261,NA,SQL Server Analysis Services,258,-30,"£50,000",3.09%,"2,042 (1.37%)",369
262,NA,CCNA,259,-7,"£41,000",-,"2,022 (1.35%)",370
263,NA,Programme Management,260,6,"£58,000",-3.33%,"2,014 (1.35%)",206
264,NA,Software Delivery,261,15,"£58,000",5.45%,"2,009 (1.35%)",267
265,NA,Perl,262,-29,"£57,500",4.54%,"1,979 (1.33%)",360
266,NA,Designer,263,6,"£47,500",5.55%,"1,932 (1.29%)",627
267,NA,Web Application Development,264,-103,"£50,000",17.64%,"1,931 (1.29%)",445
268,NA,Process Improvement,265,-11,"£51,000",2.00%,"1,928 (1.29%)",327
269,NA,TeamCity,266,5,"£60,000",-4.00%,"1,913 (1.28%)",327
270,NA,R,267,25,"£60,000",-,"1,910 (1.28%)",251
271,NA,PMO,268,13,"£50,000",3.09%,"1,900 (1.27%)",307
272,NA,SQL Server 2016,269,-63,"£50,000",17.64%,"1,888 (1.26%)",383
273,NA,ITSM,270,23,"£47,375",-5.25%,"1,881 (1.26%)",212
274,NA,Front Office,271,-4,"£75,000",-,"1,877 (1.26%)",175
275,NA,Test Engineer,272,45,"£46,000",8.23%,"1,858 (1.24%)",421
276,NA,Hibernate,273,-73,"£55,000",4.76%,"1,854 (1.24%)",365
277,NA,PL/SQL,274,21,"£50,000",5.26%,"1,845 (1.24%)",221
278,NA,Subversion,275,-73,"£50,000",5.26%,"1,843 (1.23%)",412
279,NA,Spring Boot,276,150,"£60,000",-,"1,841 (1.23%)",367
280,NA,IT Engineer,277,36,"£32,500",8.12%,"1,840 (1.23%)",349
281,NA,ASP.NET Developer,278,-80,"£45,000",5.88%,"1,832 (1.23%)",344
282,NA,SOLID,279,6,"£52,500",0.96%,"1,818 (1.22%)",405
283,NA,TOGAF,280,14,"£75,000",3.44%,"1,817 (1.22%)",307
284,NA,Electronics,281,6,"£47,500",-,"1,814 (1.21%)",847
285,NA,Test Scripting,282,-26,"£45,000",12.50%,"1,812 (1.21%)",356
286,NA,WPF,283,-96,"£50,000",5.26%,"1,799 (1.20%)",349
287,NA,Digital Marketing,284,14,"£47,500",11.76%,"1,797 (1.20%)",361
288,NA,Adobe,285,-10,"£42,500",11.84%,"1,794 (1.20%)",544
289,NA,GitHub,286,3,"£57,500",9.52%,"1,786 (1.20%)",433
290,NA,IBM,287,10,"£57,000",3.63%,"1,783 (1.19%)",319
291,NA,Java Engineer,288,-27,"£55,000",-,"1,780 (1.19%)",300
292,NA,Red Hat,289,-1,"£55,000",4.76%,"1,763 (1.18%)",314
293,NA,Team Leader,290,-37,"£55,000",-,"1,744 (1.17%)",230
294,NA,Senior Java Developer,291,-4,"£67,500",12.50%,"1,742 (1.17%)",268
295,NA,Performance Tuning,292,-22,"£55,000",4.76%,"1,735 (1.16%)",289
296,NA,Microsoft PowerPoint,293,34,"£45,000",12.50%,"1,731 (1.16%)",305
297,NA,Service Analyst,294,1,"£27,000",-,"1,729 (1.16%)",138
298,NA,IaaS,295,-10,"£62,500",-3.84%,"1,718 (1.15%)",336
299,NA,SAN,296,-47,"£45,000",-,"1,712 (1.15%)",340
300,NA,Go,297,87,"£67,500",5.46%,"1,711 (1.15%)",351
301,NA,VoIP,297,11,"£40,000",-,"1,711 (1.15%)",338
302,NA,Dynamics CRM,297,-49,"£50,500",-8.18%,"1,711 (1.15%)",481
303,NA,Python Developer,298,32,"£57,500",4.54%,"1,684 (1.13%)",355
304,NA,Test Analyst,299,11,"£37,500",-,"1,678 (1.12%)",263
305,NA,Redux,300,90,"£60,000",-,"1,664 (1.11%)",436
306,NA,B2B,301,6,"£55,000",10.00%,"1,653 (1.11%)",318
307,NA,MCSE,301,-19,"£45,000",7.14%,"1,653 (1.11%)",259
308,NA,Enterprise Architecture,302,13,"£72,500",-3.33%,"1,649 (1.10%)",206
309,NA,Validation,303,0,"£52,500",5.00%,"1,643 (1.10%)",485
310,NA,Logistics,304,1,"£50,000",5.26%,"1,623 (1.09%)",560
311,NA,ES6,304,72,"£55,000",-8.33%,"1,623 (1.09%)",404
312,NA,Root Cause Analysis,305,61,"£49,000",8.88%,"1,604 (1.07%)",218
313,NA,C# ASP.NET Developer,306,-84,"£45,000",5.88%,"1,598 (1.07%)",288
314,NA,Product Management,307,-6,"£60,000",-,"1,596 (1.07%)",241
315,NA,SIEM,308,28,"£57,500",-4.16%,"1,590 (1.06%)",180
316,NA,Data Structures,309,55,"£62,500",4.16%,"1,576 (1.06%)",387
317,NA,Senior Manager,310,-4,"£67,500",3.84%,"1,575 (1.05%)",228
318,NA,Test Strategy,311,-9,"£50,000",-,"1,566 (1.05%)",255
319,NA,C# Software Developer,312,-33,"£45,000",5.88%,"1,565 (1.05%)",340
320,NA,Senior Software Engineer,313,19,"£62,500",13.63%,"1,558 (1.04%)",333
321,NA,Data Quality,314,23,"£55,000",4.76%,"1,557 (1.04%)",262
322,NA,Data Visualisation,315,52,"£52,500",-,"1,539 (1.03%)",318
323,NA,Investment Banking,315,-105,"£70,000",-,"1,539 (1.03%)",147
324,NA,CheckPoint,316,57,"£55,000",-,"1,517 (1.02%)",197
325,NA,Wireframes,317,25,"£50,000",11.11%,"1,509 (1.01%)",394
326,NA,J2EE,318,-81,"£57,500",4.54%,"1,508 (1.01%)",214
327,NA,Thought Leadership,319,31,"£70,000",-,"1,503 (1.01%)",197
328,NA,UML,320,5,"£52,500",-,"1,483 (0.99%)",263
329,NA,2nd Line Support,321,-17,"£28,000",1.81%,"1,479 (0.99%)",131
330,NA,Cloud Computing,322,37,"£60,000",-,"1,477 (0.99%)",252
331,NA,Public Cloud,323,73,"£70,000",3.70%,"1,475 (0.99%)",289
332,NA,DBA,323,-28,"£47,500",-,"1,475 (0.99%)",252
333,NA,Deployment Automation,324,21,"£60,000",-4.00%,"1,473 (0.99%)",231
334,NA,Senior .NET Developer,325,-14,"£55,000",10.00%,"1,454 (0.97%)",285
335,NA,Ajax,326,-101,"£47,500",11.76%,"1,448 (0.97%)",346
336,NA,JUnit,327,-31,"£52,500",-,"1,443 (0.97%)",292
337,NA,Problem Management,328,-38,"£45,000",5.88%,"1,439 (0.96%)",175
338,NA,Laravel,329,-37,"£40,000",-,"1,437 (0.96%)",482
339,NA,Middleware,330,-30,"£56,600",-5.66%,"1,428 (0.96%)",228
